Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
Germany,Würzburg Center for Telematics,Commercial,Technology Demonstration,LEO,Sun-Synchronous,0,544,568,1.73E-03,97.8,95.6,4,28/9/2020,
Germany,Würzburg Center for Telematics,Commercial,Technology Demonstration,LEO,Sun-Synchronous,0,544,568,1.73E-03,97.8,95.6,4,28/9/2020,
South Korea,Korea Advanced Institute of Science and Technology (KAIST),Government,Space Science,LEO,Sun-Synchronous,0,572,588,1.15E-03,97.7,96.3,100,3/12/2018,
Japan,Nihon University,Civil,Communications,LEO,Sun-Synchronous,0,480,512,2.33E-03,97.3,94.5,4,18/1/2019,
Nigeria,NigComSat,Commercial,Communications,GEO,,42.5,"35,793","35,795",2.37E-05,0.2,1436.1,"5,150",17/12/2011,15
Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation,LEO,Sun-Synchronous,0,691,705,9.90E-04,98.2,98.7,300,17/8/2011,7
Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,0,661,696,2.48E-03,98.2,98.3,100,17/8/2011,
Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,,-7,"35,795","35,813",2.13E-04,0.05,1436.23,"3,200",4/8/2010,15
Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,,-7,"35,772","35,800",3.32E-04,0.02,98.3,"3,500",8/6/2022,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-81.96,"35,779","35,794",1.78E-04,0.01,1436.1,"4,850",19/9/2008,15
Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Commercial,Communications,GEO,,-72.7,"35,700","35,700",0.00E+00,0.01,1436.1,"4,745",17/9/2009,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-91.1,"35,764","35,809",5.34E-04,0.04,1436.09,"4,745",18/5/2012,15
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,887,898,7.57E-04,45,102.8,100,13/11/2019,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,886,897,7.57E-04,45,102.8,100,13/11/2019,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,886,897,7.57E-04,45,102.8,100,13/11/2019,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,884,898,9.64E-04,45,102.8,100,13/11/2019,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,884,897,8.95E-04,45,102.8,100,13/11/2019,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,857,866,6.22E-04,45,102.8,100,9/7/2021,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,856,866,6.91E-04,45,102.8,100,9/7/2021,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,855,866,7.61E-04,45,102.8,100,9/7/2021,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,854,866,8.30E-04,45,102.8,100,9/7/2021,
China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,853,866,8.99E-04,45,102.8,100,9/7/2021,
India,Noorul Islam University,Civil,Technology Development,LEO,Sun-Synchronous,0,496,517,1.53E-03,97.4,94.5,15,22/6/2017,2
Indonesia,PT Pasifik Satelit Nntara,Commercial,Communications,GEO,,146,"35,777","35,798",2.49E-04,0.03,1436.1,"4,100",21/2/2019,15
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,LEO,Sun-Synchronous,0,800,816,1.11E-03,98.7,101,"2,223",13/5/1998,3
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,LEO,Sun-Synchronous,0,843,864,1.45E-03,99.1,102,"2,223",20/5/2005,3
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,LEO,Sun-Synchronous,0,845,864,1.31E-03,98.9,102,"1,420",6/2/2009,3
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,LEO,Sun-Synchronous,0,817,819,1.39E-04,98.7,101.2,"2,294",18/11/2017,7
Iran,Revolutionary Guard Corps,Military,Earth Observation,LEO,Non-Polar Inclined,0,495,512,1.24E-03,58.3,96.15,15,8/4/2022,
Russia,Novosibirsk State University,Civil,Space Science,LEO,Sun-Synchronous,0,546,568,1.59E-03,97.7,95.8,9,28/9/2020,
Norway,Norwegian Space Center,Government,Earth Science/Earth Observation,LEO,Sun-Synchronous,0,586,605,1.36E-03,97.6,96.5,30,14/7/2017,
Norway,Norwegian Space Center,Government,Earth Observation,LEO,Sun-Synchronous,0,586,605,1.36E-03,97.6,96.5,16,14/7/2017,
Norway,Norwegian Space Center,Government,Earth Observation,LEO,Sun-Synchronous,0,609,613,2.86E-04,97.8,96,15,29/4/2021,
Norway,Norwegian Space Center/Statsat,Government,Earth Observation,LEO,Sun-Synchronous,0,494,507,9.46E-04,97.4,95.4,35,15/4/2023,
United Kingdom,UK Government/Surrey Satellite Technologies,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,0,586,600,1.01E-03,97.8,96,430,16/9/2018,7
USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Government,Earth Observation,LEO,Sun-Synchronous,0,827,827,0.00E+00,98.7,101.4,"2,128",28/10/2011,
USA,F Space Test Office,Civil/Military,Technology Development,LEO,Sun-Synchronous,0,710,720,7.06E-04,24,99,85,25/6/2019,
USA,National Reconnaissance Office (NRO),Military,Unknown,LEO,Sun-Synchronous,0,585,600,1.08E-03,97.7,96.5,,13/6/2020,
USA,National Reconnaissance Office (NRO),Military,Unknown,LEO,Sun-Synchronous,0,585,600,1.08E-03,97.7,96.5,,13/6/2020,
USA,National Reconnaissance Office (NRO),Military,Unknown,LEO,Sun-Synchronous,0,585,600,1.08E-03,97.7,96.5,,13/6/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,569,579,7.20E-04,54,96.15,,15/7/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,569,579,7.20E-04,54,96.15,,15/7/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,572,579,5.04E-04,54,95.15,,15/7/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,572,579,5.04E-04,54,96.15,,15/7/2020,
USA,National Reconnaissance Office (NRO),Military,Technology Development,LEO,Polar,0,586,588,1.44E-04,70,96.4,,31/1/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,585,595,7.18E-04,39.8,,55,13/7/2022,
USA,National Reconnaissance Office (NRO),Military,Technology Development,LEO,Polar,0,628,643,1.07E-03,70.2,96.4,100,4/8/2022,
USA,National Reconnaissance Office (NRO),Military,Technology Development,LEO,Non-Polar Inclined,0,300,300,0.00E+00,51,90.52,,1/5/2017,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,0,"1,007","1,207",1.34E-02,63.4,94,"1,000",17/4/2022,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Sun-Synchronous,0,491,524,2.40E-03,97.89,95.2,"20,000",2/2/2022,
Israel,NSLComm,Commercial,Technology Development,LEO,Sun-Synchronous,0,515,543,2.03E-03,97.5,95.2,8,5/7/2019,
Israel,NSLComm,Commercial,Technology Development,LEO,Sun-Synchronous,0,518,537,1.38E-03,97.5,95.2,10,3/1/2023,
Netherlands,SES S.A.,Commercial,Communications,GEO,,-37.37,"35,778","35,795",2.02E-04,0.02,1436.1,"5,396",3/2/2005,16
Netherlands,SES S.A.,Commercial,Communications,GEO,,108.21,"35,776","35,798",2.61E-04,0.07,1436.15,"3,582",2/10/2000,15
Netherlands,SES S.A.,Commercial,Communications,GEO,,57,"35,779","35,793",1.66E-04,0.06,1436.08,,29/10/2009,15
Netherlands,SES S.A.,Commercial,Communications,GEO,,95.04,"35,776","35,797",2.49E-04,0.02,1436.12,"4,575",17/12/2002,
Netherlands,SES S.A.,Commercial,Communications,GEO,,-21,"35,775","35,798",2.73E-04,0.08,1436.12,"4,500",16/4/2002,14
Netherlands,SES S.A.,Commercial,Communications,GEO,,-176.9,"35,784","35,792",9.49E-05,0.02,1436.17,"2,238",11/2/2009,15
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,467,477,7.31E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,467,478,8.04E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,467,477,7.31E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,465,475,7.31E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,468,478,7.31E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,467,476,6.58E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,465,473,5.85E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,465,474,6.58E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,465,473,5.85E-04,97.3,94,45,6/11/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,524,536,8.70E-04,97.4,95.1,37,30/6/2021,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,523,536,9.42E-04,97.5,95.1,37,30/6/2021,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,523,536,9.42E-04,97.5,95.1,37,30/6/2021,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,523,536,9.42E-04,97.5,95.1,37,30/6/2021,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,498,509,8.00E-04,97.4,95.1,42,4/4/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,497,510,9.46E-04,97.4,95.1,42,4/4/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,494,509,1.09E-03,97.4,95.1,42,4/4/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,494,509,1.09E-03,97.4,95.1,42,4/4/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,493,509,1.16E-03,97.4,95.1,42,4/4/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,525,536,7.97E-04,97.5,94.1,42,25/5/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,519,535,1.16E-03,97.5,94.1,42,25/5/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,535,545,7.24E-04,43.02,95.44,35,15/6/2017,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,523,535,8.70E-04,97.5,94.1,42,25/5/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEo,Sun-Synchronous,0,523,535,8.70E-04,97.5,94.1,42,25/5/2022,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,521,537,1.16E-03,97.5,95.1,42,3/1/2023,3
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,521,537,1.16E-03,97.5,95.1,42,3/1/2023,3
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,521,537,1.16E-03,97.5,95.1,42,3/1/2023,3
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,521,537,1.16E-03,97.5,95.1,42,3/1/2023,3
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,489,499,7.28E-04,97.4,94.4,42,15/4/2023,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,491,507,1.16E-03,97.4,94.4,42,15/4/2023,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,491,504,9.46E-04,97.4,94.4,42,15/4/2023,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,491,504,9.46E-04,97.4,94.4,42,15/4/2023,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,493,503,7.28E-04,97.2,94.5,35,2/2/2018,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,487,507,1.46E-03,97.2,94.5,35,2/2/2018,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,516,524,5.81E-04,97.5,94.5,35,2/9/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,476,490,1.02E-03,97.3,94.2,45,15/1/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,475,492,1.24E-03,97.3,94.2,45,15/1/2020,
Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,467,479,8.77E-04,97.3,94,45,6/11/2020,
USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,Equatorial,0,613,632,1.36E-03,6,97.2,360,13/6/2012,2
USA,National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,Government/Civil,Space Science,LEO,Polar,0,624,654,2.14E-03,71.97,97.48,6,20/11/2010,0.5
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,069",2.08E-04,0.03,287.93,700,25/6/2013,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,060","8,071",3.81E-04,0.09,287.92,650,10/7/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,062","8,069",2.42E-04,0.04,287.93,700,25/6/2013,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,064","8,068",1.39E-04,0.03,287.94,700,25/6/2013,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,831","7,845",4.93E-04,0.12,281.15,650,10/7/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,827","7,844",5.98E-04,0.12,281.08,650,10/7/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,815","7,842",9.51E-04,0.12,280.87,650,10/7/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,068",1.73E-04,0.04,287.93,650,18/12/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,062","8,069",2.42E-04,0.05,287.92,650,9/3/2018,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,062","8,069",2.42E-04,0.05,287.92,650,9/3/2018,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,062","8,069",2.42E-04,0.05,287.92,650,9/3/2018,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,062","8,069",2.42E-04,0.05,287.92,650,9/3/2018,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,838","7,840",7.04E-05,0.04,281.17,700,4/4/2019,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,829","7,839",3.52E-04,0.04,281.02,700,4/4/2019,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,818","7,839",7.40E-04,0.04,280.86,700,4/4/2019,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"7,809","7,839",1.06E-03,0.04,280.73,700,4/4/2019,
United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,Equatorial,0,"8,063","8,069",2.08E-04,0.03,287.93,700,25/6/2013,
USA,National Aeronautics and Space Administration (NASA),Government,Earth Observation,LEO,Sun-Synchronous,0,701,704,2.12E-04,98.2,98.83,454,2/7/2014,2
USA,Michigan Technological University/Air Force Research Laboratory,Military,Technology Development,Elliptical,,0,306,853,3.94E-02,28.5,96.2,70,25/6/2019,
Sweden,Swedish National Space Board,Government,Earth Observation,LEO,Sun-Synchronous,0,569,573,2.88E-04,97.6,96.1,250,20/2/2001,2
USA,U.S. Space Force,Military,Space Observation,LEO,Sun-Synchronous,0,405,450,3.31E-03,97.5,94.6,,13/6/2021,
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,385,601,1.57E-02,140.94,94.47,300,9/4/2014,5
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,386,608,1.62E-02,142,94.4,300,13/9/2016,5
Israel,Ministry of Defense,Military,Earth Observation,LEO,Retrograde,0,300,300,0.00E+00,139.2,94.5,300,28/3/2023,
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,352,603,1.83E-02,141.12,93.9,300,6/7/2020,
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,367,764,2.86E-02,143.4,95.97,300,28/5/2002,4
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,340,576,1.73E-02,141.76,93.75,300,10/6/2007,5
Israel,Ministry of Defense,Military,Earth Observation,LEO,Non-Polar Inclined,0,343,589,1.80E-02,141.78,93.91,300,22/6/2010,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,175","1,180",3.31E-04,87.8,105.2,148,27/2/2019,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,200","1,202",1.32E-04,87.4,93.5,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,200","1,202",1.32E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,95.9,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.5,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.6,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.9,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.2,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.4,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.9,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.7,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,560,600,2.88E-03,87.4,94.4,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.4,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,96.5,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.4,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.6,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.9,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,6/2/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.3,93.5,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.7,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.8,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.6,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,93.7,148,21/3/2020,5
United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,0,"1,215","1,220",3.29E-04,87.4,94.8,148,21/3/2020,5
